folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,stat,,std,,4,0.685766,,0.685766,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.001373
rice_R_8,QR未検出,,stat,,std,,4,0.917225,,0.917225,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.001373
rice_R_12,,zxing_gray,stat,,std,,12,0.965631,0.965631,0.965631,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,2.001373
nagaoka_fireworks_R_4,QR未検出,,stat,,std,,4,0.711635,,0.711635,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.001373
nagaoka_fireworks_R_8,QR未検出,,stat,,std,,4,0.813135,,0.813135,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.001373
nagaoka_fireworks_R_12,,zxing_median_otsu,stat,,std,,8,0.930302,0.930302,0.930302,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,5,nagaoka_fireworks,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_median_otsu_x1.0_k7_i1,frame_00000.png,frame_00119.png,,120,2.001373
hocho_R_4,QR未検出,,stat,,std,,12,0.649530,,0.649530,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.001373
hocho_R_8,QR未検出,,stat,,std,,4,0.852755,,0.852755,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.001373
hocho_R_12,QR未検出,,stat,,std,,8,0.914250,,0.914250,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.001373
ex_R_4,QR未検出,,stat,,std,,4,0.843350,,0.843350,frame_00000.png,frame_00119.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.959 fps,90,250,1,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.001373
