pass,status,elapsed_sec,log_path,results_csv,decode_csv,phone_copied,note
pair,OK,6710.3,logs\pass_hully_mid.log,results_pair.csv,qr_decode_all_frames_pair.csv,11,
accum,OK,6710.3,logs\pass_hully_mid.log,results_accum.csv,qr_decode_all_frames_accum.csv,221,
stat_std,OK,6710.3,logs\pass_hully_mid.log,results_stat_std.csv,qr_decode_all_frames_stat_std.csv,14,
stat_var,OK,6710.3,logs\pass_hully_mid.log,results_stat_var.csv,qr_decode_all_frames_stat_var.csv,3,
lockin,OK,6710.3,logs\pass_hully_mid.log,results_lockin.csv,qr_decode_all_frames_lockin.csv,1,
fourier,OK,6710.3,logs\pass_hully_mid.log,results_fourier.csv,qr_decode_all_frames_fourier.csv,0,
accum_num,OK,6710.3,logs\pass_hully_mid.log,results_accum_num.csv,qr_decode_all_frames_accum_num.csv,2,
stat_std_num,OK,6710.3,logs\pass_hully_mid.log,results_stat_std_num.csv,qr_decode_all_frames_stat_std_num.csv,3,
stat_var_num,OK,6710.3,logs\pass_hully_mid.log,results_stat_var_num.csv,qr_decode_all_frames_stat_var_num.csv,3,
lockin_num,OK,6710.3,logs\pass_hully_mid.log,results_lockin_num.csv,qr_decode_all_frames_lockin_num.csv,1,
fourier_num,OK,6710.3,logs\pass_hully_mid.log,results_fourier_num.csv,qr_decode_all_frames_fourier_num.csv,0,
